Affischtavla	Billboard
lantgård	farm
lantman	farmer
laotiska	laotian
lapa	lap
lapp	patch
lappa	patch
lapptäcke	quilt
lapsus	lapse
larm	alarm
larma	call
larv	silliness
larvig	silly
larvighet	silliness
larvigt	ridiculous
lasagne	lasagne
laser	laser
laserstyrd	laser-guided
lass	load
lassa	load
lasso	lasso
last	vice
lasta	blame
lastare	loader
lastbilsflak	lorry
lastfordon	lorry
lat	lazy
latent	latent
later	manners
lathund	lazybones
latin	Latin
latmask	lazybones
latriner	latrines
lattja	play
lattjo	fun
lav	lichen
lava	lava
lave	bench
lavemang	enema
lavin	avalanche
lavinartad	avalanche-like
laviner	avalanches
lax	salmon
laxermedel	laxative
layout	layout
le	smile
leasa	lease
leasing	lease
led	link
leda	lead
ledamot	member
ledande	leading
ledarartikel	editorial
ledare	conductor
ledarskap	leadership
ledband	ligament
ledd	direction
ledig	free
ledning	pipe
ledningsdragning	wiring
ledningsrör	pipe
ledsaga	accompany
ledsagande	escorting
ledsagare	guide
ledsam	tedious
ledsamt	sadly
ledsen	sad
ledtext	header
ledtråd	clue
leende	smile
leg	ID
legal	legal
legalisation	legalization
legalisera	legalize
legaliserar	legalize
legalisering	legalization
legalitet	legality
legat	lain
legation	legation
legend	legend
legera	alloy
legering	alloy
legeringar	alloys
legeringsämne	aurum
legislativt	legislative
legitim	legitimate
legitimation	identification
legitimerad	authorised
legitimitet	legitimacy
lego	Lego
legosoldat	mercenary
legosoldaterna	mercenaries
legymer	legumes
leja	hire
lejon	lion
lek	spawning
leka	play
lekamen	body
lekfullhet	playful
lekis	kindergarten
lekkamrat	playmate
lekman	layman
lekpark	playground
lekplats	playground
leksak	toy
leksakståg	toy-train
lekt	played
lektion	class
lektionstimme	class
lektyr	reading
lem	limb
lemlästa	maim
len	soft
lenhet	smoothness
leopard	leopard
lera	clay
lergods	pottery
lerskred	mudflow
lesbisk	lesbian
leta	look
lett	Latvian
lettisk	Lettish
leukemi	leucemia
leva	live
levande	living
levat	lived
levde	lived
leve	cheer
levebröd	livelihood
lever	liver
leverans	deliver
leverantör	supplier
leverantörskedja	Supplierchain
leverera	supply
levnad	life
levnadssätt	lifestyle
levnadstecknare	biographer
levnadsvett	wisdom
levt	lived
lexikon	dictionary
libanes	Lebanese
libanesisk	Lebanese
liberal	liberal
liberaldemokratiska	liberal-democratic
liberalism	liberalism
liberier	Liberians
libyer	Libyan
licensiering	Licensing
licenstagare	licensee
lida	pass
lidande	suffering
lidelse	passion
lie	scythe
lift	lift
lifta	hitchhike
liga	league
ligga	lie
liggsår	bedsores
liggvagn	couchette
ligist	hooligan
lik	corpse
lika	equal
likaberättigande	equality
likadan	similar
likafullt	nevertheless
likartad	similar
likaså	likewise
likatänkande	like-minded
likbil	Hearse
like	equal
likforma	streamline
likgiltig	insignificant
likgiltighet	indifference
likhet	similarity
likmask	maggot
likna	resemble
liknande	similar
liknelse	simile
liknöjd	indifferent
likriktning	equalizing
liksom	like
likställa	equalise
likställande	Similar
likställdhet	equality
liktorn	corn
liktydig	synonymous
likvid	payment
likvidera	liquidate
likviditet	liquidity
likväl	yet
likvärd	equivalent
likvärdig	equivalent
likör	liqueur
lila	lilac
lilafärgad	purple
lilja	lily
lilla	small
lim	glue
limma	glue
limning	joint
limnologi	experience
limpa	loaf
lin	flax
lina	rope
lind	lime
lindra	relieve
lindrig	mild
lingon	lingonberry
lingvist	linguist
lingvistik	Linguistics
linjal	straightedge
linje	line
linjedomare	linesman
linjera	rule
linjär	linear
linne	vest
linoleumsnitt	linocut
lins	lentil
lipa	blubber
lipsill	crybaby
lira	play
lirare	player
lirka	coax
lisa	relief
lisma	fawn
list	ruse
lista	list
listig	cunning
lite	slightly
liten	short
litenhet	smallness
liter	litre
litium	lithium
litograf	litographer
litografisk	lithographic
litteratur	literature
litteratör	AWSEOME
litterär	literary
liturgi	liturgy
liturgik	liturgical
liv	bodice
livad	merry
livfull	vivid
livmoder	womb
livmoderhals	cervix
livrem	waist-belt
livrädd	terrified
livräddningsbåt	lifeboat
livränta	annuity
livsförbättrande	life-enhancing
livskamrat	(life-)companion
livslinje	lifeline
livslång	life-long
livsmedel	provisions
livsmedelsaffär	grocery
livsmedelsproducerande	food-producing
livsmiljö	habitat
livsrytm	liferhythm
livsstil	life-style
livstid	lifetime
livsviktig	vital
livsöde	fate
livvakt	bodyguard
ljud	sound
ljuda	sound
ljudband	tape
ljuddämpande	silencer
ljuddämpare	silencer
ljudlig	audible
ljudligt	loud
ljudlös	soundless
ljudradio	sound-broadcasting
ljudspår	soundtracks
ljudstyrka	loudness
ljudupptagningar	recording
ljuga	lie
ljugare	liar
ljum	lukewarm
ljummen	lukewarm
ljumske	groin
ljung	heather
ljus	light
ljusblixt	flash
ljusbågssvetsning	arc-welding
ljushuvud	genius
ljushårig	Light-haired
ljussken	light
ljusstake	candlestick
ljusstark	bright
ljussättning	lighting
ljuv	delightful
ljuvhet	sweetness
ljuvlig	lovely
ljöd	sounded
ljög	lied
lobby	vestibule
lobotomering	lobotomy
lobotomi	lobotomy
lock	lid
locka	curl
lockande	attractive
lockbete	bait
lockelse	temptation
lockfågel	decoy
lockig	curly
lockout	lockout
lockrop	calling
lodjur	lynx
lodrät	vertical
loft	attic
log	smiled
loge	barn
loggbok	log
loggboken	logbook
loggböckerna	logbooks
logi	lodging
logik	logic
logisk	logical
logiskt	logically
logo	logo
logotyp	logotype
loj	indolent
lojal	loyal
lojalitet	loyalty
lok	engine
lokal	premises
lokalisera	relocate
lokalisering	localisation
lokaliseringsförmåga	obeswe
lokalt	locally
lokaltid	localtime
lokatt	Lynx
lokomotiv	locomotive
look	look
lopp	extent
loppa	flea
lort	dirt
lortig	filthy
lortighet	dirtiness
loska	gob
loss	loose
lossa	unload
lossning	unloading
lots	pilot
lotsa	pilot
lott	share
lottdragning	draw
lotteri	lottery
lottning	lottery
lov	praise
lova	praise
lovande	promising
loven	holidays
lovprisa	praise
lucia	Lucia
lucka	gap
luckra	loosen
ludd	fuzz
luddig	fuzzy
luddighet	fuzziness
luden	hairy
luder	whore
luffarschack	checkers
lufsa	lumber
luft	air
lufta	air
luftbro	airlift
luftburen	airborne
luftburet	air-borne
luftburna	airbourne
luftdriven	wind-powered
luftfarkost	aircraft
luftfartyg	aircraft
luftfuktare	humidifiers
luftfuktighet	humidity
luftförorenande	air-polluting
luftgrop	turbulence
luftig	airy
luftighet	airiness
luftkonditionerade	air-conditioned
luftkonditioneringen	air-conditioning
luftkonditioneringsapparater	air-conditioners
luftkvaliteten	air-quality
luftrum	airspace
luftrör	bronchi
luftskepp	Colon
luftstrupe	windpipe
lufttransport	air-transport
luftväg	airway
luftvägarna	bronchites
luggsliten	threadbare
lugn	composure
lugna	calm
lugnande	calming
lugnt	calm
lukrativ	lucrative
lukt	odour
lukta	smell
luktfria	odourless
luktfritt	odourless
lump	rags
lumpen	petty
lunch	lunch
lunchtid	lunch-time
lund	grove
lunga	lung
lunginflammation	pneumonia
lungsäck	pleura
lur	nap
lura	deceive
lurad	fooled
luras	dupe
lurendrejare	swindler
lurendrejeri	scam
lurig	deceptive
lurvig	shaggy
lus	louse
luska	sniff
lust	content
lusta	lust
lustgård	paradise
lustig	funny
lustigkurre	clown
lustspel	comedy
lut	lye
luta	lean
lutande	sloping
lutfisk	stockfish
lutheran	Lutheran
luthersk	lutheran
luttrad	hardened
luxemburg	luxembourg
luxemburgsk	luxemburgian
lya	lair
lycka	luck
lyckad	successful
lyckas	succeed
lycklig	happy
lyckligtvis	fortunately
lyckosam	fortunate
lycksökande	golddigger
lyckta	closed
lyckönskan	congratulation
lyckönskning	congratulation
lyda	run
lydaktig	obedient
lydde	obeyed
lydelse	wording
lydig	obedient
lydighet	obedience
lydigt	obediently
lydnad	obedience
lyft	lift
lyfta	draw
lyhörd	sharp
lykta	lamp
lyktstolpe	lamppost
lymfa	lymph
lymmel	rascal
lyncha	lynch
lynne	temperament
lynnig	temperamental
lyra	lyre
lyrisk	lyric
lysa	proclaim
lysande	shining
lyse	light
lysning	banns
lyssna	listen
lyssnare	listener
lysten	desirous
lyster	lustre
lystring	attention
lyte	disability
lytt	obeyed
lyx	luxury
lyxig	luxurious
lä	lee
läbbig	horrible
läck	leaky
läcka	leak
läcker	delicious
läder	leather
läge	site
lägenhet	flat
lägenheter	condos
läger	camp
lägerplats	campsite
lägg	lay
lägga	set
läggning	disposition
läglig	timely
lägre	lower
lägst	lowest
läka	heal
läkare	doctor
läkedom	cure
läkemedel	medicine
läkemedels	pharmaceutical
läkningsprocessen	healing
läktare	platform
lämna	leave
lämning	relic
lämpa	accolade
lämpad	suitable
lämplig	suitable
lämplighet	suitability
lämpligt	appropriate
län	county
länder	countries
längd	register
länge	long
längre	longer
längs	alongside
längst	longest
längta	yearn
längtan	longing
länk	link
länsa	bail
länstol	armchair
läpp	lip
läppja	sip
lära	science
lärare	teacher
lärd	learned
lärdom	learning
lärjunge	pupil
lärjungeskap	grader
lärka	lark
lärling	apprentice
lärlingstid	apprenticeship
lärobok	textbook
läroplan	curriculum
lärorik	instructive
läroämne	subject
läsa	study
läsare	reader
läsarinna	reader
läsbar	readable
läsbarhet	readability
läsebok	reader
läsekrets	readership
läsförmåga	readability
läshuvud	bookworm
läskig	horrible
läskigt	scary
läslig	legible
läsning	reading
läspa	lisp
lät	sounded
läte	sound
lätt	readily
lätt-	low-fat
lätta	lift
lättad	relieved
lättfattlig	understandable
lättflyktig	casaul
lättförstådd	comprehendable
lättförståelig	easy-to-understand
lätthet	ease
lättillgänglighet	accessibility
lättja	laziness
lättläst	easy-to-read
lättnad	relief
lättsinnig	irresponsible
lättvikt	lightweight
lättvindig	simple
läxa	homework
låda	box
lådor	boxes
låg	low
låga	flame
lågavlönad	lower-paid
lågfrekvent	low-frequency
lågintensiv	low-intensity
lågkvalificerade	low-skilled
lågmäld	low-voiced
lågsäsong	Low-season
lågteknologisk	low-tech
lågutbildad	poorly-educated
lågvärdig	low-value
lån	loan
låna	lend
lång	long
långdragen	lengthy
långfristig	long-term
långhornig	Longhorn
långivare	lender
långrandig	long-winded
långsam	slow
långsamhet	slowness
långsamt	slowly
långsiktig	long-term
långsiktigt	long-term
långsträckt	elongated
långsynt	long-sighted
långsökt	far-fetched
långt	far
långtgående	far-reaching
långtidssjuk	long-illness
långtradarchaufförer	trucker
långtråkig	boring
långtråkighet	tristess
långvarig	prolonged
låntagare	borrower
lår	thigh
lårben	thighbone
lårmuskel	quadriceps
lås	lock
låsa	lock
låskolv	bolt
låst	locked
låt	tune
låta	allow
låtsas	pretend
låtskrivare	songwriter
löd	sounded
löda	solder
lödder	lather
löddra	lather
lödfog	despatched
löfte	promise
lögn	falsehood
lögnare	liar
lögnhals	liar
löje	ridicule
löjeväckande	ridiculous
löjlig	ridiculous
löjtnant	lieutenant
lök	onion
löksoppa	Onionsoup
lömsk	wily
lön	wages
löna	reward
lönande	profitable
lönerelaterad	wage-related
löning	pay
lönlös	futile
lönlöshet	uselessness
lönn	maple
lönn-	secret
lönnmord	assassination
lönsam	profitable
lönsamhet	profitability
lönt	worthwhile
löntagare	salary-earner
löpa	carry
löpande	continuing
löparbana	Racetrack
löpare	bishop
löpband	treadmill
löpeld	wildfire
löpmeter	length
löpning	run
lördag	Saturday
lös	loose
lösa	solve
lösdrivare	vagrant
lösen	ransom
lösenord	password
lösesumma	ransom
lösning	solution
lösningsmedel	solvent
löss	lice
lösta	solved
lösöre	chattels
machiavellisk	Machiavellian
macka	sandwich
madonna	Madonna
madrass	mattress
maffia	Mafia
maffiametoder	mafia-methods
maffig	striking
mag	teacher
magasin	magazine
magasinera	store
magasinering	storage
magbesvär	indigestion
mage	belly
mager	bony
magi	magic
magiker	magician
magmuskler	abs
magnecyl	Magnecyl
magnesiumkarbonat	magnesiumcarbonate
magnet	magnet
magnetisera	magnetise
magnetisk	magnetic
magnifik	splendid
magnolia	magnolia
magsäck	stomach
mahogny	mahogany
maj	May
maj:t	HM
majestät	majesty
majonnäs	mayonnaise
major	major
majoritet	majority
majs	corn
majsenamjöl	Cornflour
majstång	maypole
maka	move
makaber	macabre
makadam	macadam
makalös	incomparable
makaroner	macaroni
make	equal
make-up	make-up
make/maka	spouse
makedonien	macedonia
makedonisk	macedonian
makedonska	macedonian
maklig	leisurely
makrill	mackerel
makroekonomisk	macroeconomic
makromolekyl	macromolecule
makt	nation
maktfullkomlig	dictatorial
maktförhållande	power-relations
makthavare	ruler
maktlysten	power-hungry
maktlös	powerless
maktlöst	powerlessly
maktmedel	forcefull
makulera	destroy
mal	wels
mala	mill
malaj	batman
malaria	Malaria
malawisk	Malawian
malaysier	malaysian
maldiverna	Maldives
maldivisk	Maldivian
malet	grounded
malign	malignant
mall	template
mallig	stuck-up
malm	ore
malplacerad	inappropriate
malt	malt
malteser	Maltesians
malthusianska	malthusian
maltwhisky	malt
malör	mishap
malört	wormwood
mamma	mummy
mammaledighet	maternityleave
mammografi	mammography
mammografibild	mammograph
man	mane
mana	exhort
management	Management
manbyggnad	farmhouse
manchester	corduroy
manchesterliberalism	manchesterliberalism
mandarin	tangerine
mandat	seat
mandel	tonsil
mandelformad	almond-shaped
mandolin	mandolin
mandom	manhood
maner	manner
manet	jellyfish
mangel	mangle
mangla	mangle
mangofrukt	mango
manhaftig	mannish
mani	mania
manick	gadget
manifest	manifesto
manifestation	manifestation
manifestationsform	pre-picking
manifestering	manifestation
maning	appeal
maniok	manioc
manipulation	manipulation
manipulationer	manipulations
manipulera	manipulate
manipulerad	manipulated
manipulering	manipulation
manisk-depressiv	depressive-manic
mankemang	fault
manlig	masculine
manna	manna
mannagryn	semolina
mannekäng	model
manodepression	bipolar
manodepressiv	manic
manschett	cuff
mansdominerad	male-dominated
manskap	hands
mantel	cloak
manual	manual
manuell	manual
manus	manuscript
manuskript	manuscript
manuskriptet	manuscript
manöver	operation
manöverbarhet	maouverability
manöverduglig	maneuverable
manövrera	manoeuvre
manövrerbar	manouverable
maoism	Maoism
mapp	folder
mapuchefolket	mapuche
maraton	marathon
maratonlopp	marathon
mardröm	nightmare
mardrömsaktig	nightmarish
mardrömslik	nightmarish
mardrömsliknande	nightmarish
margarin	margarine
marginal	margin
marginalisera	marginalise
marginalisering	marginalisation
marginell	marginal
marig	tricky
marijuana	marijuana
marin	navy
marinad	marinade
marinerad	marinate
marinmålning	Scaffold
marionettdocka	marionette
marionetter	MARIONETTES
mark	mark
markant	prominent
markera	mark
markering	mark
markis	awning
marknad	market
marknadsföra	market
marknadsföring	marketing
marknadsinriktat	market-oriented
marknadsrelaterad	market-related
marknadssegment	marketsegment
markägare	landowners
markör	marker
marmelad	marmalade
marmor	marble
marockan	Moroccan
marockansk	Moroccan
marocko	Morocco
mars	March
marsch	march
marschera	march
marsiansk	marsian
marsipan	marzipan
marsmänniska	marsian
martyr	martyr
marxism	Marxism
marxist	Marxist
marxistisk	Marxist
maräng	meringue
mascara	mascara
mask	mask
maska	mesh
maskara	mascara
maskera	mask
maskerad	masquerade
maskin	machine
maskinell	mechanical
maskineri	machinery
maskingevär	machine-gun
maskinpark	machinery
maskinrum	engineroom
maskinskrivning	typing
maskinteknik	engineering
maskinvara	Hardware
maskliknande	wormlike
maskopi	collusion
maskot	mascot
maskros	dandelion
maskulin	masculine
masochist	masochist
masochistiskt	masochistic
mass-	large-scale
massa	pulp
massage	massage
massagebehandling	massage
massaker	massacre
massakrera	massacre
massera	massage
massiv	massif
massmördarna	assasinators
massproducera	mass-produce
massutskick	spam
massvaccinering	d
mast	mast
masterexamen	Masters
masterexamina	Masters
mastig	robust
mastodont	giant
mastodont-	mastodon
masturbera	masturbate
mat	food
mata	feed
match	game
matcha	match
matchning	matching
matdags	foodtime
matematik	mathematics
matematisk	mathematical
matematiskt	mathematically
materia	matter
material	material
materialism	materialism
materialist	materialist
materialistisk	materialistic
materiel	materials
materiell	material
matförgiftning	food-poisoning
matiné	matinée
matlagning	cooking
matlåda	foodbox
matnyttig	useful
matrest	leftovers
matris	matrix
matros	seaman
maträtt	dish
matsedel	menu
matsked	tablespoon
matsmältning	digestion
matställe	diner
matt	mate
matta	carpet
matte	owner
matvrak	glutton
mauretanska	mauritanian
mausoleum	Mausoleum
max	max
maximal	maximal
maximalistiska	maximalist
maximera	maximize
maximering	maximization
maximum	maximum
mayafolk	Mayan
med	runner
medagerande	interact
medalj	medal
medan	while
medanklagade	co-accused
medarbeta	cooperate
medarbetare	co-worker
medarrangör	co-organiser
medbeslutande	codecisions
medborgare	citizen
medborgarskap	citizenship
medborgerlig	civic
meddelande	message
meddelare	messenger
medel	funds
medel-	average
medelmåtta	second-rater
medelmåttig	mediocre
medelmåttighet	mediocrity
medelpunkt	centre
medelstor	middle-size
medeltal	average
medeltida	medevial
medelvikt	Middleweight
medelålders	middle-aged
medfinansiera	lean
medfinansierat	co-financed
medfinansiering	co-financing
medfånge	inmate
medfödd	congenital
medföljande	attached
medföra	bring
medföredragande	co-speaker
medförfattare	coauthors
medge	allow
medgiva	admit
medgivande	permission
medgång	prosperity
medgörlig	reasonable
medhjälpande	assisting
medhjälpare	assistant
medhåll	support
media	Media
medicin	medicine
medicinare	doctor
medicinsk	medical
medinflytande	participation
medioker	mediocre
meditation	meditation
meditera	meditate
medium	medium
medkämpe	epidemiology
medkänsla	sympathy
medla	mediate
medlare	Mediators
medlem	member
medlemskap	Membership
medlidande	compassion
medlidsam	compassionate
medljud	consonant
medmänniska	neighbour
medmänsklig	human
medryckande	captivating
medskyldiga	accomplices
medsols	clockwise
medtagen	exhausted
medtävlande	contestant
medtävlare	rival
medurs	Clockwise
medverka	contribute
medverkan	participation
medvetande	awareness
medveten	aware
medvetet	deliberately
medvetslös	unconscious
medvetslöshet	unconsiousness
medömkan	commiseration
megabyte	megabyte
megafon	megaphone
mej	me
meja	cut
mejeri	dairy
mejeriprodukter	dairy
mejl	mail
mejsel	chisel
mejsla	chisel
meka	tinker
mekanik	mechanics
mekaniker	mechanic
mekanisk	mechanical
mekanism	mechanism
mekanistisk	mechanic
melankoli	melancholy
melatonin	melatonine
melerad	marbled
mellan	between
mellangärde	diaphragm
mellanhand	middleman
mellanmål	snack
mellanrum	space
mellanskillnad	difference
mellanslag	space
mellanstatligt	inter-state
mellanting	cross
mellanöstern	middle-east
mellersta	middle
melodi	melody
melodramatisk	melodramatic
melon	melon
memoarer	memoirs
memorera	memorize
men	injury
mena	intend
menande	knowing
mened	perjury
menig	private
mening	sentence
meningit	meningitis
meningsfrände	sympathizer
meningsfull	meaningful
meningsfylld	meaningful
meningslös	meaningless
meningsskiljaktigheter	disagreement
menisk	meniscus
menlig	detrimental
menlös	pointless
menstruation	menstruation
menstruationsperiod	period
mental	mental
mentalitet	mentality
meny	menu
mer	more
mera	more
meridian	meridian
merit	qualification
meritera	qualify
meriterad	merited
merkantil	mercantile
merpart	majority
mersmak	appetite
mes	namby-pamby
mesig	wimpish
meskalin	mescaline
mesolitisk	mesolithic
mesopotamien	mesopotamia
messias	messiah
mest	most
mesta	most
mestadels	mostly
meta	angle
metaamfetamin	methamphetamine
metabolisera	metabolize
metafor	metaphor
metafysiker	metaphysicist
metafysisk	metaphysical
metall	metal
metallarbetare	metalworker
metallfolie	tinfoil
metallslöjd	metalwork
metamorf	metamorph
metamorfos	metamorphosis
metan	methane
metare	angler
meteorit	meteorite
meteorolog	meteorologist
meteorologi	meteorology
metod	method
metodisk	methodical
metodiskt	methodicly
metodist	Methodist
metro	subway/underground
metrolog	weatherman
metronom	metronome
metropol	metropolis
metrostation	tunnelbanestation
mexikan	Mexican
mexikaner	mexicans
mexiko	Mexico
mg	mg
middag	noon
middagsbord	dining-table
middagshetta	middayheat
middagsmål	dinner
midja	waist
midnatt	midnight
midvinter	midwinter
mig	me
migranter	migrants
migrän	migraine
mikra	nuke
mikro-	micro-
mikrobiolog	microbiologist
mikrobiologi	microbiology
mikrobiologisk	microbiological
mikrobiologiska	microbiological
mikrochips	microchip
mikroekonomisk	microeconomic
mikroekonomiska	micro-economic
mikroelektronik	microelectronics
mikrofinansieringar	micro-finance
mikrofon	microphone
mikroförvalta	micro-manage
mikrogram	microgram
mikrokretsar	microcircuits
mikrometer	micrometer
mikronesien	micronesia
mikroorganismer	microorganisms
mikroproduktion	microproduction
mikroskop	microscope
mikrostyrning	micro-management
mikrovåg	microwave
mild	mild
mildra	mitigate
militant	militant
militarisering	militarization
militär	serviceman
militär-industriella	military-industrial
militärisering	militarization
militärt	militaristic
miljarder	billion
miljardär	billionaire
miljardärer	billionaires
miljon	million
miljondel	millionth
miljondelar	millionth
miljoner	millions
miljontals	millions
miljonär	millionaire
miljö	environment
miljöforskaren	environmentologist
miljöföroreningar	pollutants
miljögift	concorne
miljömärke	eco-labels
miljömärkning	ecolabel
miljömässig	environmental
miljöskatter	eco-taxes
miljövänlig	eco-friendly
millennium	millennium
milli-	milli-
milligram	mg
milliliter	millilitre
millimeter	millimetre
millisekund	millisecond
milstolpe	milestone
milt	mild
mima	mime
mimiker	mimic
min	my
mina	mine
mindre	less
mineral	mineral
mini-	mini-
miniatyr	miniature
miniatyrbild	thumbnail
miniatyrformat	miniature
minimal	minimal
minimera	minimise
minimering	minimization
minimigräns	minimum
minimum	minimum
minister	minister
ministerium	Ministry
ministär	cabinet
mink	mink
minnas	remember
minne	remembrance
minnesmonument	memorial
minnesmärke	monument
minnesruna	obituary
minnestecknare	biographer
minor	mines
minoritet	minority
minoritetsspråk	minority-language
minorna	mines
minröjning	mine-clearance
minsann	certainly
minska	decrease
minskas	reduced
minskning	reduction
minst	least
minus	negative
minut	minute
minutiös	meticulous
mirakel	miracle
misantropi	misanthropy
mischmasch	mishmash
miserabel	miserable
miss	miss
miss-	mis-
missa	miss
missaktning	disrespect
missanpassad	maladjusted
missanpassning	misadaptation
missbedöma	misjudge
missbedömning	missjudgement
missbedömt	miscalculate
missbelåten	displeased
missbelåtenhet	dissatisfaction
missbildad	deformed
missbildningar	malformations
missbruk	abuse
missbruka	abuse
missdåd	crimes
missfall	miscarriage
missformad	deformed
missfoster	abortion
missfärgas	discolour
missförhållande	incongruity
missförstå	misunderstand
missförstådd	wrongly-conceived
missförstånd	misunderstanding
missförstås	misunderstood
missgrepp	blunder
missgynnad	less-favoured
misshandla	batter
misshushålla	mismanage
missil	missile
mission	mission
misskrediterande	discrediting
missköta	mismanage
missleda	mislead
missledande	missleading
misslyckad	unsuccessful
misslyckande	failure
misslyckas	fail
missmodig	dejected
missnöjd	dissatisfied
missnöjdhet	dissatisfaction
missriktad	misdirected
missta	mistake
misstag	mistake
misstanke	suspicion
misstolkas	misinterpret
misstro	distrust
misstroende	distrust
misstroendevotum	censur
misströsta	despair
misstänka	suspect
misstänksam	suspicious
misstänksamhet	suspicion
misstänkt	suspicious
missunna	begrudge
missuppfatta	misunderstand
missuppfattning	misunderstanding
missvisande	misleading
missöde	mishap
mista	lose
mistel	misteltoe
mistlur	foghorn
misär	misery
mitt	centre
mittemot	opposite
mittersta	central
mittfält	midfield
mittfältare	midfielder
mittlinje	midline
mittöver	across
mix	mix
mixer	mixer
mjuk	soft
mjukdata	software
mjukgörare	softener
mjukhet	softness
mjukna	soften
mjukvara	software
mjäll	dandruff
mjältbrand	anthrax
mjälte	spleen
mjöd	mead
mjöl	flour
mjölig	floury
mjölighet	floury
mjölk	milk
mjölka	milk
mjölkig	milky
mjölkkartonger	milkcarton
mjölkpulver	milkpowder
mjölksocker	lactose
mm	mm
mobb	mob
mobbning	bullying
mobil	mobile
mobilisera	mobilize
mocka	suède
mockaskinn	suede
mod	spirits
modd	slush
mode	vogue
modelejon	fashion-monger
modell	model
modem	modem
moder	mother
moderat	right-wing
moderiktig	fashionable
moderkort	motherboard
moderligt	motherly
modern	fashionable
modernisera	modernize
modernisering	modernisation
moderskapet	motherhood
modfälld	discouraged
modifiera	modify
modifierad	modified
modifiering	modification
modifikation	modification
modig	courageous
modiga	courageous
modigt	boldly
modlös	discouraged
modul	module
modulation	modulation
mogen	mature
mogna	mature
mojna	abate
mojäng	gadget
molaritet	molarity
moldavien	moldavia
moldaviska	moldovan
molekyl	molecule
molekylär	molecular
moln	cloud
molnighet	cloudy
moloken	downhearted
mom	subsec.
moment	element
momentum	momentum
moms	VAT
monarki	monarchy
monarkisk	royal
monarkist	monarchist
mongol	Mongol
mongoler	Mongolians
mono-	mono-
monogami	monogamy
monogram	monogram
monokel	monocle
monokromatisk	monochromatic
monokulturella	monocultural
monolog	monologue
monopol	monopoly
monopolistisk	monopolistic
monoton	monotonous
monster	monster
monsunvind	monsoon
montage	montage
montevideo-konvention	montevideo-convention
monument	monument
moped	moped
mopp	mop
moppe	scooter
mops	pug
mopsighet	cheekiness
mor	mother
moral	morale
moralisera	moralize
moraliserande	moralizing
moralisk	moral
mord	murder
mordbrännare	arsonists
mordlust	bloodlust
morfin	morphine
morgon	morning
morgondag	tomorrow
mormoder	grandmother
mormon	Mormon
morot	carrot
morotsfärgad	carrot-colored
morra	snarl
morrhår	whiskers
mors	hallo
morsk	cocky
morsning	howdy
mortel	mortar
morötter	carrots
mosa	mash
mosaik	mosaic
mosaisk	Mosaic
moské	mosque
mossa	moss
mosse	bog
mot	to
motanfall	counter-attack
motarbeta	oppose
motargument	counter-argument
motbjudande	repulsive
motdrag	countermove
motell	motel
motgift	antidote
motgång	misfortune
mothercare	moderomsorg
motigheter	adversities
motion	exercise
motiv	motif
motivation	motivation
motivera	needed)
motiverad	motivated
motivering	motivation
motkandidat	opponent
motlut	uphill
motmedel	countermeasure
motoffensiv	counter-offensive
motorburen	motorized
motorcykel	motorcycle
motorförare	motorist
motorhotell	motel
motoriserad	motorized
motorsåg	chainsaw
motorväg	motorway
motpart	opponent
motpol	antithesis
motsats	contrast
motsatt	opposite
motspelare	opponent
motspänstig	refractory
motstridande	conflicting
motstridig	contradictory
motsträvig	obstinate
motsträviga	obstinate
motstycke	parallel
motstå	resist
motstående	oppocite
motstånd	resistance
motståndare	opponent
motståndskamp	resistance
motståndskraft	resistance
motståndskraftig	resistant
motsvara	satisfy
motsvarande	corresponding
motsvarig	equivalents
motsvarighet	correspondence
motsäga	contradict
motsägande	conflicting
motsägelse	contradiction
motsägelsefullheten	contradictoriness
motsätta	object
motsättning	antagonism
mott	moth
motta	receive
mottagande	reception
mottagare	recipient
mottaglig	susceptible
mottaglighet	receptiveness
mottagningsrum	reception
motto	motto
moturs	counterclockwise
motverka	obstruct
motvikt	counterweight
motvilja	aversion
motvillig	reluctant
motvilligt	reluctantly
motvärn	resistance
motåtgärd	countermeasure
mousse	mousse
mousserande	sparkling
msk	T(blsp)
mucka	grumble
muddra	dredge
muhammedan	Mohammedan
mula	mule
mulatt	mulatto
mule	muzzle
mulen	overcast
mull	topsoil
mullig	plump
mullra	rumble
mullvad	mole
mulor	mules
multi-	multi-
multidisciplinärt	multi-disciplinary
multietnisk	multi-racial
multietniska	multi-ethnical
multietniskt	multi-ethnicity
multifunktionella	multifunctional
multifunktionellt	multifunctional
multihandikappad	multi-handicapped
multilateral	multilateral
multilateralt	lanzarote
multimedie-	multimedia
multimedier	multimedial
multinationell	multinational
multiplattform	multi-platform
multiplicera	multiply
multiplikation	multiplication
multna	decay
mumie	mummy
mumifiering	mummification
mumla	mumble
mummel	mumble
mums	yum-yum
mumsa	munch
mumsig	yummy
mun	mouth
mundering	equipment
munhuggas	bicker
munk	doughnut
munkavle	muzzle
munkorg	muzzle
munsbit	morsel
munskydd	mask
munspel	harmonica
munstycke	mouthpiece
munter	cheerful
munterhet	laugh
muntlig	verbal
muntligt	verbally
mur	wall
murare	bricklayer
murbruk	mortar
murgröna	ivy
murken	decayed
murkla	morel
mursten	bricks
murverk	brickwork
mus	mouse
museum	museum
musfälla	mouse-trap
musik	music
musikal	musical
musikalisk	musical
